"Name","URL","FirstParagraph"
"Adrian Paci","http://www.guggenheim.org/new-york/collections/collection-online/artists/bios/8933/Adrian%20Paci","Adrian Paci was born in Shkodër, Albania, in 1969. From 1987 to 1991 he attended the Akademia e Arteve in Tirana, Albania. He lectured in art history and aesthetics in Shkodër from 1995 until 1997, at which time he left his home country for Milan, escaping the violence of the armed uprising that roiled Albania that year. Paci’s position as an exile holds a central place in his oeuvre. His work frequently addresses themes of geographical separation, nostalgia, and memory, and conveys a keen sense of the mutability of life and art."
"Ahmed Mater","http://edgeofarabia.com/artists/ahmed-mater","Born in Abha in 1979, Ahmed Mater is recognised as one of the most influential of Saudi Arabian artists today. He is also, as he puts it, a man of many masks. As well as being a qualified GP he is a landscape photographer and the face of one of the region’s largest mobile phone companies."
"Ayman Yossri Daydban","http://edgeofarabia.com/artists/ayman-yossri-daydban","Ayman Yossri Daydban (b. 1966 in Palestine with Jordanian nationality) lives in Jeddah, Saudi Arabia. His art is both biographical and a commentary on the environment he grew up in. His humble home is full of found objects, pirate DVDs and very few purchased “necessary” items."
"Dia Al-Azzawi","http://www.claude-lemand.com/artiste/dia-al-azzawi-4?souspage=bio/nDia Al-Azzawi (born 1939, Baghdad), started his artistic career in 1964, after graduating from the Institute of Fine Arts in Baghdad and completing a degree in Archaeology from Baghdad University in 1962. His studies of ancient civilizations and Iraqi heritage had a profound impact on his art, and a key objective in the early formation of his artistic style was to link the visual culture of the past to the present. He is internationally recognised as one of the pioneers of modern Arab art. Defined by its powerful visual impact and brilliant colour, Al-Azzawi’s art covers a range of subjects executed in a variety of media, including painting, sculpture, drawing, prints and art books. He lives and works in London since 1976, but continues to derive inspiration from his homeland, Iraq. With exhibitions of his work held worldwide, his art features in numerous private and public collections.","Dia Azzawi.""My work is part of the Renaissance of Arab Art trend, yet it is universal in its dimension and interlocked within contemporary history and culture.""/n"
"Doa Aly","http://gypsumgallery.com/bio-da","Doa Aly was born in Cairo, Egypt in 1976. She currently lives and works in Cairo. Selected group exhibitions include Meeting Points 6, Beirut Art Center, and Argos, Brussels, curated by Okwui Enwezor (2011); The Future of Tradition/The Tradition of Future, Haus Der Kunst, Munich, curated by Chris Dercon; 7th Busan Biennale (2010); 11th Istanbul Biennial, curated by What, How & for Whom / WHW (2009); 3rd Guangzhou Triennial, China, curated by Chang Tsong-zung, Gao Shiming and Sarat Maharaj; Cairoscape, Kunstraum Kreuzberg/Bethanien, Berlin, curated by Marina Sorbello and Antje Weitzel; PhotoCairo4: The Long Shortcut curated by Aleya Hamza and Edit Molnar, Contemporary Image Collective, Cairo (2008); The Maghreb Connection, Centre d'Art Contemporain, Genève, curated by Ursula Biemann; In Focus, Tate Modern, London, curated by Predrag Pajdic; Recognize, Contemporary Art Forum, London; Port City, Arnolfini Museum, Bristol (2007); Snap Judgments, International Center of Photography,"
"Fayçal Baghriche","http://www.taymourgrahne.com/artists/fayal-baghriche","Born in Algeria in 1972, Paris-based artist Fayçal Baghriche grew up navigating between Arab and Western cultures, forming his artistic perspective characterized by the blurring of distinct cultural lenses. By illuminating the simplicity of movement and modifying image fundamentals, his craft creates a body of works that challenges the frameworks of society."
"Hrair Sarkissian","http://www.sharjahart.org/people/people-by-alphabet/s/sarkissian-hrair/nb. 1973, Damascus, Syria/nLives and works in Amsterdam, the Netherlands","In Sarkissian’s work, landscape and the urban environment become stages for the expression of historical realities, where human presence is implied but never overtly depicted. Employing traditional documentary techniques, his photographs are eloquent expressions of a hidden paradox that exists between the beauty and constancy of the surroundings and the social realities that they conceal. Sarkissian’s work has been included in numerous regional and international exhibitions including Mori Art Museum, Tokyo; Museo del Palacio de Bellas Artes, Mexico City; FotoMuseum, Antwerp, Belgium (all 2013); SALT Beyoglu, Istanbul, Turkey (2011); Tate Modern, London, UK (2011); Darat al Funun, Amman, Jordan (2011); the Kalfayan Galleries, Athens, Greece (2010); Saadiyat Island, Abu Dhabi, UAE (2009), the Istanbul Biennial, Turkey (2009); The Bluecoat, Liverpool, UK (2008); The Young Arab Theatre Fund’s Festival in Syria and Jordan (2005), and the Recontres Internationales de la Photographie d’Arles, France (2004)./n"
"Jumana Manna","http://www.sharjahart.org/people/people-by-alphabet/m/manna-jumana/nJumana Manna (b.1987 in Princeton, NJ, USA, lives and works in Berlin, Germany) holds an MA in Aesthetics and Politics from CalArts, Los Angeles, CA, USA and a BFA from the Oslo National Academy of the Arts, Norway. Working primarily with video and sculpture, Manna explores the construction of identity in relation to historical narratives and uncertain states of contemporary communities. In her sculptural practice, she employs a language of minimalism and abstraction to reformulate familiar objects into a state of ambiguity, navigating between negation and seduction. In 2012, Manna was awarded the Young Palestinian Artist of the Year Award sponsored by the A. M. Qattan Foundation for her short film A Sketch of Manners (Alfred Roch’s Last Masquerade).",NA
"Kassab Bachi","http://www.britishmuseum.org/research/search_the_collection_database/term_details.aspx?bioId=182155/nArtist, born Damascus, Syria, 1934. Studied Arabic Literature at the University of Damascus (1955-57) then moved to Berlin, Germany, to study painting under Prof. Hann Trier (from 1957 onwards). From 1980, held professorship at the Hochschule der Künste, Berlin. Extremely prevalent motifs include the 'Head' and, to a lesser extent, the 'Marionette', both in the BM collection. Exhibitions mainly in Germany, but also in the Middle East and U.S.A., and works in many public collections, including Abdul Hameed Shoman Foundation, Darat al Funun, Jordan; National Museum, Damascus; Bibliothèque Nationale de France, Paris; Carnegie Museum of Art, Pittsburgh. Based in Berlin.",NA
"Lamia Joreige","http://www.taymourgrahne.com/artists/lamia-joreige","Born in Lebanon in 1972, Lamia Joreige is a visual artist and filmmaker who lives and works in Beirut. She earned her BFA in Painting and Filmmaking from the Rhode Island School of Design, Providence, in 1995. She uses archival documents and elements of fiction to reflect on history and its possible narration, and the relation between individual stories and collective memory. Her practice is rooted in her country’s experience and explores the possibilities of representation of the Lebanese wars and their aftermath, particularly in Beirut, a city at the center of her imagery. Lamia Joreige's work essentially centers on Time: the recording of time, of its trace and its effects on us, underlining the process of memory and the impossibility of accessing a complete narrative."
