Source,Target
Meriç Algün Ringborg,"10 Aug., 2014"
Meriç Algün Ringborg,11 Jan 2015
Alexander Markov,13th PURE DREAMS International
Jamal Al Kebasi,15 June 2010
Rosalind Nashashibi,16
Meriç Algün Ringborg,"16 Mar., 2014"
Shadi Ghadirian,1794-1925
Meriç Algün Ringborg,17 Jan
Meriç Algün Ringborg,18 Oct
Shalima Sharbatli,18 September 2008
David Douglas Duncan,1916
Saloua Raouda Choucair,1916
Youssef Nabil,1921-2002
Yusef A. Lateef,1925
Shafic Abboud,1926
Giuseppe Moscatello,1926 -2009
Jürgen Böttcher,1931
Ante Zaninović,1934-2000
Abdulhalim Radwi,1939-2006
Abbas Kiarostami,1940
Safeya Binzagr,1940
Bill Meyers,1940-2005
Liliana Porter,1941
Ali Jabri,1942
Bob Landry,1942
Lawrence Weiner,1942
Žilnik Želimir,1942
Eugenio Dittborn,1943
Farshid Maleki,1943
Saloua Raouda Choucair,1943
Abdelfattah Kilito,1945
Ali Al-Ruzaiza,1947
Shafic Abboud,1947
Ayşe Erkmen,1949
Jamal Al Kebasi,1950
Shafic Abboud,1950-1970
Maalem Abdelkébir Merchane,1951
Mona Hatoum,1952
Yu-ichi Inoue,1952
Bahman Mohassess,1953
David Douglas Duncan,1953
Fahda bint Saud,1953
Marcel Odenbach,1953
Raana-Farnoud,1953
Yousef Jaha,1953
Zahra Bu Ali,1953
Samira Badran,1954
Walid Siti,1954
Yu-ichi Inoue,1954
Abdullah Hammas,1955
"Jean-Luc Moulène ",1955
Yu-ichi Inoue,1955
Kassab Bachi,1955-57
Abdulhalim Radwi,1956
Ali Al-Tokhais,1956
Aneh Mohammad Tatari,1956
Elena Kovylina,1956
Faisal Samra,1956
Hend Al-Mansour,1956
Yusef A. Lateef,1956
Doug Henders,1957
Fahd Al-Hijilan,1957
Karin Sander,1957
Lani Maestro,1957
Sheela Gowda,1957
Valeska Soares,1957
Jayce Salloum,1958
Raeda Ashour,1958
Samiah Khashoggi,1958
Theo Eshetu,1958
Yazid Oulab,1958
Yu-ichi Inoue,1958
Doris Bittar,1959
Driss Ouadahi,1959
Shafic Abboud,1959
Simryn Gill,1959
Yu-ichi Inoue,1959
Rasheed Araeen,1959 - 1974
Ana Vidigal,1960
Hamza Serafi,1960
Lawrence Weiner,1960
Milica Tomić,1960
Fernando José Pereira,1961
Hassan Hajjaj,1961
Hassan Massoudy,1961
Moataz Nasr,1961
Abdulaziz Ashour,1962
Bita Fayyazi,1962
Dia Al-Azzawi,1962
Jalal Toufic,1962
Abdulrahman Soliman,1963
Ante Zaninović,1963
Saloua Raouda Choucair,1963-5
Abdulhalim Radwi,1964
Amar Kanwar,1964
Ammar Bouras,1964
Ante Zaninović,1964
Derek Ogbourne,1964
Dia Al-Azzawi,1964
Liliana Porter,1964
Marwan Rechmaoui,1964
Samer Omran,1964
Alfredo Aquilizan,1965
Isabel Aquilizan,1965
Marcel Schwierin,1965
Yu-ichi Inoue,1965
Alberto Duman,1966
Hanan Abdullah Bahamdan,1966
Mostafa Darehbaghi,1966
Ryoji Ikeda,1966
Taysir Batniji,1966
Harun Farocki,1966-68
Ahmed Felemban,1967
Jane & Louise Wilson,1967
Raafat Ishak,1967
Rabih Mroué,1967
Walid Raad,1967
Yu-ichi Inoue,1967
Žilnik Želimir,1967
Djamel Kokene,1968
Hiroyuki Masuyama,1968
Mona Marzouk,1968
Rasheed Araeen,1968
Žilnik Želimir,1968
Abdulhalim Radwi,1968-1974
Adrian Paci,1969
David Claerbout,1969
Mahdi Al Jeraibi,1969
Melik Ohanian,1969
Mohammed Kazem,1969
N.S. Harsha,1969
Nacera Belaza,1969
Neda Razavipour,1969
Peyman Hooshmandzadeh,1969
Rimini Protokoll,1969
Simone Fattal,1969
Yusef A. Lateef,1969
Ziad Abillama,1969
Žilnik Želimir,1969
Abbas Kiarostami,1970
Ali Jabri,1970
"Apichatpong Weerasethakul ",1970
Carlos  Amorales,1970
Kader Attia,1970
Maalem Abdelkébir Merchane,1970
Mouna Karray,1970
mounir fatmi,1970
Rasheed Araeen,1970
Reza Aramesh,1970
Runa Islam,1970
Saâdane Afif,1970
Simin Keramati,1970
Yusef A. Lateef,1970
Adel Abdessemed,1971
Ahmed Felemban,1971
Antonio Jose Guzman,1971
Elena Kovylina,1971
Farhad Ahrarnia,1971
Haleh Redjaian,1971
Hussein Al-Mohasen,1971
Juan Araujo,1971
Mahmoud Refat,1971
