Id,type
"10 Aug., 2014",Date
11 Jan 2015,Date
15 June 2010,Date
16,Date
"16 Mar., 2014",Date
17 Jan,Date
1794-1925,Date
18 Oct,Date
18 September 2008,Date
1916,Date
1921-2002,Date
1925,Date
1926,Date
1926 -2009,Date
1931,Date
1934-2000,Date
1939-2006,Date
1940,Date
1940-2005,Date
1941,Date
1942,Date
1943,Date
1945,Date
1947,Date
1949,Date
1950,Date
1950-1970,Date
1951,Date
1952,Date
1953,Date
1954,Date
1955,Date
1955-57,Date
1956,Date
1957,Date
1958,Date
1959,Date
1959 - 1974,Date
1960,Date
1961,Date
1962,Date
1963,Date
1963-5,Date
1964,Date
1965,Date
1966,Date
1966-68,Date
1967,Date
1968,Date
1968-1974,Date
1969,Date
1970,Date
1971,Date
1972,Date
1972-1981,Date
1973,Date
1974,Date
1974-1979,Date
1975,Date
1975-1983,Date
1975-1990,Date
1975-79,Date
1976,Date
1977,Date
1978,Date
1979,Date
1979-1981,Date
1980,Date
1980-1992,Date
1980-82,Date
1981,Date
1982,Date
1983,Date
1984,Date
1984-86,Date
1985,Date
1985-2005,Date
1985-2009,Date
1985-2010,Date
1985-87,Date
1986,Date
1987,Date
1988,Date
1989,Date
1989-1993,Date
1990,Date
1990 -94,Date
1990-2005,Date
1991,Date
1992,Date
1992-93,Date
1993,Date
1993-1994,Date
1993-2007,Date
1993-95,Date
1994,Date
1994-1998,Date
1995,Date
1995-96,Date
1996,Date
1996-7,Date
1996-98,Date
1997,Date
1997-1998,Date
1997-2002,Date
1997-2005,Date
1997-2006,Date
1998,Date
1998-1999,Date
1999,Date
1999 -2000,Date
1999-2001,Date
20 June 2010,Date
2000,Date
2000-01,Date
2001,Date
2001-03,Date
2001-2005,Date
2002,Date
2002-03,Date
2002-07,Date
2002-2003,Date
2002-2009,Date
2003,Date
2003 two,Date
2003-04,Date
2003-06,Date
2003-2004,Date
2004,Date
2004-06,Date
2004-07,Date
2004-2007,Date
2004/2005,Date
2005,Date
2005 -07,Date
2005-07,Date
2005-2008,Date
2005-2015,Date
2005-7,Date
2005/2006,Date
2006,Date
2006-06,Date
2006-07,Date
2006-08,Date
2006-2007,Date
2006-2009,Date
2007,Date
2007 -2008,Date
2007- 08,Date
2007-08,Date
2007-2008,Date
2008,Date
2008- 09,Date
2008-09,Date
2008-2009,Date
2008/09,Date
2009,Date
2009-10,Date
2009-2010,Date
2009/10,Date
2010,Date
2010-11,Date
2010/2009,Date
2010/2011,Date
2011,Date
2012,Date
2012/13,Date
2013,Date
2013-2014,Date
2014,Date
2015,Date
2020,Date
2020-2096,Date
21 Mar,Date
"27 June, 2014",Date
27 May 2010,Date
28 Mar,Date
30 Mar,Date
30 May,Date
45,Date
5 June 2015,Date
5 March,Date
7 Dec,Date
8 May 2013,Date
"9 June, 2014",Date
April,Date
April 2004,Date
April 2009,Date
April 2011,Date
between 1954 and 1960,Date
between 1956 and 1960,Date
between 1958 and 1967,Date
between 1964 and 1968,Date
between 1969 and 1972,Date
between 1974 and 1979,Date
Between 2003 and 2007,Date
Between 2004 and 2007,Date
Between 2006 and 2008,Date
between 2006 and 2009,Date
between 2008 and 2010,Date
Between 2009 and 2010,Date
December,Date
December 2010,Date
December 2011,Date
February 2009,Date
Friday,Date
from 1953 to 1964,Date
from 1967 to 2002,Date
from 1976 to 1980,Date
from 1978 to 1982,Date
from 1982 to 1996,Date
From 1987 to 1991,Date
from 1991 to 2007,Date
From 1994 to 1996,Date
from 1994 to 2004,Date
from 1995 to 2000,Date
from 1996 to 1998,Date
From 1996 to 2005,Date
From 1997 to 2003,Date
from 2003 to 2007,Date
From 2005 to 2013,Date
from 2007 to 2010,Date
from 2010 to 2011,Date
January 1961,Date
January 2010,Date
July 1953,Date
Jun,Date
last decade,Date
last twenty years,Date
last two decades,Date
last year,Date
March 2009,Date
March 2011,Date
March 2012,Date
"March 5, 1945",Date
May,Date
May 2008,Date
"May 31, 1942",Date
Monday,Date
New Year,Date
November 1953,Date
November 2007,Date
November 2008,Date
November 2010,Date
November 2013,Date
"November 4, 2010",Date
"November 9, 2009",Date
October,Date
October 2009,Date
October 2010,Date
"October 21, 2008",Date
"October 3, 2009",Date
"October 30, 2008",Date
"October 9, 1920",Date
past 30 years,Date
past 7 years,Date
past decade,Date
past ten years,Date
past two decades,Date
previous year,Date
Ramadan,Date
September,Date
September 2005,Date
"September 30, 2009",Date
Spring 2010,Date
Spring Festival,Date
Summer,Date
Sun,Date
Sunday,Date
the 1930s,Date
the 1940s,Date
the 1950s,Date
the 1960s,Date
the 1970s,Date
the 1980s,Date
the 1990s,Date
the 2000s,Date
the 90s,Date
the early 1980s,Date
the early 1990s,Date
the late 1940s,Date
the late 1950s,Date
the late 1960s,Date
the late 1970s,Date
the late 1980s,Date
the late 1990s,Date
the late 90s,Date
the mid 1990s,Date
the mid-1970s,Date
the mid-1990s,Date
the mid-80s,Date
this day,Date
this year,Date
today,Date
Winter,Date
Abbas Akhavan,Person
Abbas Kiarostami,Person
Abdelfattah Kilito,Person
Abdelkader Benchamma,Person
Abdul Aziz,Person
Abdul Ghafur Sheikh,Person
Abdul Latif,Person
Abdul Nasser,Person
Abdulaziz Ashour,Person
Abdulhalim Radwi,Person
Abdullah Al Saadi,Person
Abdullah Al-Mazrook,Person
Abdullah Al-Ogaili,Person
Abdullah Al-Othman,Person
Abdullah Al-Shaikh,Person
Abdullah Hammas,Person
Abdullah Idrees,Person
Abdullah Nawawi,Person
Abdullah Riza,Person
Abdulmajid Ali Al-Jarouf,Person
Abdulnasser Al-Amri,Person
Abdulrahman Soliman,Person
Adam Carr,Person
Adel Abdessemed,Person
Adel Abidin,Person
Adele Ne Jame,Person
Adele NeJame,Person
Adila Laidi-Hanieh,Person
Adrian Paci,Person
Agnes Janich,Person
Ahaad Alamoudi,Person
Ahmad Amin Nazar,Person
Ahmad Amin-Nazar,Person
Ahmad Angawi,Person
Ahmad Ghossein,Person
Ahmad Konash,Person
Ahmad Morshedloo,Person
Ahmed Alsoudani,Person
Ahmed El Attar,Person
Ahmed Felemban,Person
Ahmed Foula,Person
Ahmed Mater,Person
Ahmed Moustafa,Person
Ahmed Tayseer Badrah,Person
Aisha Khalid,Person
Akbank Sanat,Person
Akram Zaatari,Person
Al Abdali,Person
Al Ain,Person
al Athar,Person
Al Attar,Person
Al Baha,Person
Al Bassam,Person
Al Bassan,Person
Al Bastakiya,Person
Al Dirany,Person
