Source,Target
Nikolaj Bendix,Aalborg
Raeda Saadeh,Aalborg
Daniel Garcia,Abbas Kiarostami
Rania Attieh,Abbas Kiarostami
Bob Landry,Abdul Aziz
David Douglas Duncan,Abdul Aziz
Fahda bint Saud,Abdul Aziz
Nasser Al Maimoon,Abdullah Riza
Saeed Salem,Abdul Latif
Samah Hijawi,Abdul Nasser
Abdulnasser Al-Amri,Abdulnasser Gharem
Abdullah Al Saadi,Abu Dhabi
Hrair Sarkissian,Abu Dhabi
Marwa Rustam,Abu Dhabi
Reem Al Ghaith,Abu Dhabi
Samah Hijawi,Abu Dhabi
Wafa Hourani,Abu Dhabi
Meriç Algün Ringborg,Adam Carr
Yusef A. Lateef,Adderley
Adele Ne Jame,Adele NeJame
Melissa Chimera,Adele NeJame
Jayce Salloum,Afghan
CAMP,Afghanistan
Huda Totonji,Afghanistan
Jayce Salloum,Afghanistan
Agnes Janich,Africa
"Kamarstudios ",Africa
Keith Shiri,Africa
Mouna Karray,Africa
Rasheed Araeen,Africa
Simon Fujiwara,Africa
"SUPERFLEX ",Africa
Yonamine,Africa
Yusef A. Lateef,Africa
Zena el Khalil,Africa
Pouya Parsamagham,Ahmad Amin-Nazar
Lulwah Al-Homoud,Ahmed Moustafa
Juan Araujo,Aichi
Marwan Rechmaoui,Aix-en-Provence
Ammar Al Attar,Ajman
Laurent Grasso,Akbank Sanat
Ahmed Felemban,Al-Aajam
Faisal Samra,Al-Adha
Abdullah Al Saadi,Al Ain
Samiah Khashoggi,Al-Alamya
Ziad Antar,al-Arabiya
Sulayman Al Bassam,al Athar
Mohammed Al Ghamdi,Al Baha
Musaed Alhulis,Al Baha
Adrian Paci,Albania
Anri Sala,Albania
Adrian Paci,Albanian
Ebtisam Abdulaziz,Al Bastakiya
David Spriggs,Alberta
Ali Al-Tokhais,Al-Dawadmi
Mounir Al-Shaarani,Al Dirany
Jamal Al Kebasi,Al Dori
Manal Al Dowayan,Al-Dowayan
Ali Jabri,Aleppo
Khaled Akil,Aleppo
Yazan Khalili,Alessandro Petti
Doa Aly,Aleya Hamza
Edward Said,Al Feneiq
Amino Belyamani,Alfred Ladzekpo
Isabel Aquilizan,Alfredo Juan
Isabel Aquilizan,Alfredo Juan Aquilizan
Ninar Esber,Al Funun
Rula Halawani,Al Funun
Nacera Belaza,Alger
Adel Abdessemed,Algeria
Djamel Kokene,Algeria
Driss Ouadahi,Algeria
Fayçal Baghriche,Algeria
Mohamed Bourouissa,Algeria
Mustapha Benfodil,Algeria
Nacera Belaza,Algeria
Nida Sinnokrot,Algeria
Susan Hefuna,Algeria
Yazid Oulab,Algeria
Zineb Sedira,Algeria
Abdelkader Benchamma,Algerian
Driss Ouadahi,Algerian
Kader Attia,Algerian
Karim Aïnouz,Algerian
Mustapha Benfodil,Algerian
Hani Alireza,Al-Ghalayini
Adel Abdessemed,Algiers
Amina Menia,Algiers
Ammar Bouras,Algiers
Djamel Kokene,Algiers
Driss Ouadahi,Algiers
Mohamed Bourouissa,Algiers
Mouna Karray,Algiers
Sharif Waked,Algiers
Susan Hefuna,Algiers
Yazid Oulab,Algiers
Zineb Sedira,Algiers
Eiman Elgibreen,Al Hada
Sulayman Al Bassam,Al-Hamlet
Jawad Al Malhi,Al Hoash
Sama Alshaibi,Al Hoash
Samira Badran,Al Hoash
Mai Al Ibrashy,al-Ibrashy
Mai Al Ibrashy,Al-Ibrashy
Gilbert Hage,Alice Mogabgab
Huda Lutfi,al-Imam
Sulayman Al Bassam,al Islamiyyah
Mahdi Al Jeraibi,Al Jeraibi
Mahdi Al Jeraibi,Al-Jeraibi
Jamal Al Kebasi,Al Jubail
Abdullah Al-Mazrook,Al-Khobar
Abdullah Hammas,Al-Khobar
Ahmad Konash,Al-Khobar
Badriya Nasser,Al-Khobar
EFFAT ABDULLAH FADAG,Al-Khobar
Ghada Al-Hassan,Al-Khobar
Hussein Al-Mohasen,Al-Khobar
EFFAT ABDULLAH FADAG,Al-Khober
Taha Al-Sabban,Al Khozama
Ahmed Felemban,Al-Khuzaim
Fouad Elkoury,Aller
Safeya Binzagr,Al-Mahmal
Jawad Al Malhi,Al Malhi
Waheeda Malullah,Al Manama
Ali Al-Ruzaiza,Al Mansouria
Mahdi Al Jeraibi,Al Mansouria
Faisal Samra,Al-Mansouria
Shadia Alem,Al-Mansouria
Taha Al-Sabban,Al-Mansouria
Khaled Hourani,Al Matal
Saud Al-Duribi,Al-Miftaha
Ahmad Angawi,Al Mizan
Abdullah Al-Ogaili,Al Mohtaraf
Kameel Hawa,Al-Mohtaraf
Marwan Rechmaoui,Al-Murr
Nasser Al-Salem,Al Nasser
Susan Hefuna,Al Nitaq
Waheeda Malullah,Al Riwaq
Abdullah Al-Ogaili,Al Salam
Mounir Al-Shaarani,Al Salamiya
Ahmed Felemban,Al-Saquabi
Baseem Al Sharqi,Al Sharqi
Halla Bint Khalid,Al Shuyook
Mounira Al Solh,Al Solh
Noha Faoud Al-Ghalib,Al-Thani
Ali Al-Ruzaiza,Al-Washim
Mustapha Benfodil,Al-Watan
Ana Vidigal,Amadeo de Souza-
Abdul Ghafur Sheikh,America
Ahmed El Attar,America
Melik Ohanian,America
Naeem Mohaiemen,America
Yusef A. Lateef,America
Abdelfattah Kilito,American
Abdullah Nawawi,American
Adele Ne Jame,American
Ala Ebtekar,American
Alan Bishop,American
Eugenio Dittborn,American
Jenine Sharabi,American
Luc Sante,American
Maha Malluh,American
Marie-Hélène Cauvin,American
Naeem Mohaiemen,American
Nida Sinnokrot,American
Nil Yalter,American
Omar Berrada,American
Saud Al-Duribi,American
Sean Gullette,American
Tarek Halaby,American
Yusef A. Lateef,American
Ahmad Amin Nazar,Amin Nazar
Ali Jabri,Amman
"Basim Magdy ",Amman
Doa Aly,Amman
Hrair Sarkissian,Amman
Jananne Al-Ani,Amman
Jumana Emil Abboud,Amman
Oraib Toukan,Amman
Pascal Hachem,Amman
Rula Halawani,Amman
Saba Innab,Amman
Samah Hijawi,Amman
Walid Siti,Amman
Ziad Dalloul,Amman
Lamya Gargash,Am Rein
Aisha Khalid,Amsterdam
Amar Kanwar,Amsterdam
Anawana Haloba,Amsterdam
Antonio Jose Guzman,Amsterdam
Ayman Ramadan,Amsterdam
Ayşe Erkmen,Amsterdam
Bae Young-whan,Amsterdam
Carlos  Amorales,Amsterdam
Cevdet Erek,Amsterdam
Erkka Nissinen,Amsterdam
Eva Meyer-Keller,Amsterdam
Firoz Mahmud,Amsterdam
Gabriel Lester,Amsterdam
Hala Elkoussy,Amsterdam
Hrair Sarkissian,Amsterdam
Jun Yang,Amsterdam
Lawrence Weiner,Amsterdam
Manal Dowayan,Amsterdam
Mounira Al Solh,Amsterdam
Otobong Nkanga,Amsterdam
Rabih Mroué,Amsterdam
Raed Yassin,Amsterdam
Runa Islam,Amsterdam
Samah Hijawi,Amsterdam
Sophie Ernst,Amsterdam
Tarek Atoui,Amsterdam
Yto Barrada,Amsterdam
Yu-ichi Inoue,Amsterdam
Meriç Algün Ringborg,Andreas Huber
Baseem Al Sharqi,Andy Warhol
Hicham Ayouch,Angel
"Angelica Mesiti ",Angelica Mesiti
Yonamine,Angola
"Kamarstudios ",Aniko Boehler
Aras Özgün,Ankara
mentalKLINIK,Ankara
Yazid Oulab,Ankara
Saloua Raouda Choucair,Ann Coxon
Meriç Algün Ringborg,Anne Barlow
Rasheed Araeen,Anthony Caro
Doa Aly,Antje Weitzel
Lara Favaretto,Antonio Ratti
Marcel Odenbach,Anton Kern Gallery
Eungie Joo,Anton Vidokle
Almagul Menlibayeva,Antwerp
David Claerbout,Antwerp
Fred Eerdekens,Antwerp
Gulnara Kasmalieva,Antwerp
Hrair Sarkissian,Antwerp
Muratbek Djumaliev,Antwerp
N.S. Harsha,Antwerp
Otobong Nkanga,Antwerp
Sheela Gowda,Antwerp
N.S. Harsha,Antwerpen
EFFAT ABDULLAH FADAG,Aramco
Gabriela Golder,Argentina
Khaled Sabsabi,Argentina
Liliana Porter,Argentina
Sama Alshaibi,Arizona
Sean Gullette,Aronofsky
Jananne Al-Ani,Arthur M. Sackler
Minouk Lim,Arthur M. Sackler
Pouran-Jinchi,Arthur M. Sackler
Alfredo Aquilizan,Asia
"Angelica Mesiti ",Asia
Bahar Behbahani,Asia
"Basir Mahmood ",Asia
CAMP,Asia
Cevdet Erek,Asia
"Charwei Tsai ",Asia
Heman Chong,Asia
Hu Xiangqian,Asia
Isabel Aquilizan,Asia
Judith Barry,Asia
Laurent Grasso,Asia
Raqs Media Collective,Asia
Shafic Abboud,Asia
Sophie Ernst,Asia
Tiffany Chung,Asia
Wafaa Bilal,Asia
Yang Fudong,Asia
Hatem Imam,Atfal Ahdath
Vartan Avakian,Atfal Ahdath
Fred Eerdekens,Athens
Haris Epaminonda,Athens
Hrair Sarkissian,Athens
Jalal Toufic,Athens
Jenine Sharabi,Athens
Panos Tsagaris,Athens
Yang Fudong,Athens
Abdullah Al-Mazrook,Atlanta
Liliana Porter,Atlantic
Yusef A. Lateef,Atlantic
Yuk King Tan,Auckland
Nida Sinnokrot,Austin
Roberto Bellini,Austin
Tom Molloy,Austin
Valeska Soares,Austin
Adel Abidin,Australia
Alfredo Aquilizan,Australia
Anawana Haloba,Australia
Andreas Gursky,Australia
"Angelica Mesiti ",Australia
Aras Özgün,Australia
"Basir Mahmood ",Australia
Cevdet Erek,Australia
"Charwei Tsai ",Australia
Eduard Puterbrot,Australia
Eugenio Dittborn,Australia
Heman Chong,Australia
Isabel Aquilizan,Australia
Jananne Al-Ani,Australia
Jayce Salloum,Australia
Khaled Sabsabi,Australia
Lani Maestro,Australia
Moataz Nasr,Australia
Raafat Ishak,Australia
Raeda Saadeh,Australia
Rasheed Araeen,Australia
Runa Islam,Australia
Shahzia Sikander,Australia
Sharif Waked,Australia
Simryn Gill,Australia
Susan Hefuna,Australia
Tiffany Chung,Australia
Tintin Wulia,Australia
Wang Jianwei,Australia
Yang Fudong,Australia
Yuk King Tan,Australia
Zena el Khalil,Australia
Ana Torfs,Austria
