source,group,target,lat,long
:mentalKLINIK,1,Ankara,32.853758,39.9220794
:mentalKLINIK,1,Istanbul,28.9651646,41.0096334
:mentalKLINIK,1,Vienna,16.3725042,48.2083537
Abbas Akhavan,1,Berlin,13.3888599,52.5170365
Abbas Akhavan,1,Bucharest,26.1027436,44.436139
Abbas Akhavan,1,Canada,-107.9917071,61.0666922
Abbas Akhavan,1,Fogo Islands,-54.1541697,49.7506183
Abbas Akhavan,1,Garden,-73.993550178,40.7505247
Abbas Akhavan,1,Istanbul,28.9651646,41.0096334
Abbas Akhavan,1,London,-0.1276474,51.5073219
Abbas Akhavan,1,Montreal,-73.5912827,45.5224507
Abbas Akhavan,1,New York,-73.9865812,40.7305991
Abbas Akhavan,1,Spain,-4.003104,40.0028028
Abbas Akhavan,1,Toronto,-79.3849008,43.6529206
Abbas Akhavan,1,Trinity Square,-79.381720193,43.65465275
Abbas Akhavan,1,UAE,31.2718321,49.4871968
Abbas Akhavan,1,UK,-3.2765753,54.7023545
Abbas Akhavan,1,Western Front,-123.0986417,49.2637844
Abbas Kiarostami,1,Cannes,7.0126946,43.5512076
Abbas Kiarostami,1,Tehran,51.4214589,35.6865107
Abbas Kiarostami,1,Venice,12.3345899,45.4371908
Abdelfattah Kilito,1,Casablanca,-7.6176293,33.5939157
Abdelfattah Kilito,1,France,1.8883335,46.603354
Abdelfattah Kilito,1,Montpellier,3.8767337,43.6112422
Abdelfattah Kilito,1,Morocco,-7.3366043,31.1728192
Abdelfattah Kilito,1,Princeton,-74.6592958,40.3492744
Abdelfattah Kilito,1,Rabat,-6.8390357,34.0223602
Abdelkader Benchamma,1,Barcelona,2.1771353,41.3825596
Abdelkader Benchamma,1,France,1.8883335,46.603354
Abdelkader Benchamma,1,Paris,2.3521334,48.8565056
Abdelkader Benchamma,1,Qatar,51.2295295,25.3336984
Abdelkader Benchamma,1,Toulouse,1.4442469,43.6044622
Abdul Ghafur Sheikh,1,America,5.9660692821,51.44770365
Abdul Ghafur Sheikh,1,Mecca,39.8209897,21.4228632
Abdul Qadir al-Rassam,1,Baghdad,44.3787992,33.3024248
Abdul Qadir al-Rassam,1,England,-0.5402402366,52.7954791
Abdul Qadir al-Rassam,1,France,1.8883335,46.603354
Abdul Qadir al-Rassam,1,Germany,10.4234469,51.0834196
Abdul Qadir al-Rassam,1,Iraq,44.1749775,33.0955793
Abdul Qadir al-Rassam,1,Istanbul,28.9651646,41.0096334
Abdul Qadir al-Rassam,1,Italy,12.674297,42.6384261
Abdul Qadir al-Rassam,1,Tigris River,43.7649329,34.5168906
Abdulaziz Ashour,1,Jeddah,39.1640396,21.5822247
Abdulaziz Ashour,1,London,-0.1276474,51.5073219
Abdulaziz Ashour,1,Shanghai,121.4888922,31.2253441
Abdulhalim Radwi,1,Brazil,-53.2,-10.3333333
Abdulhalim Radwi,1,Dubai,55.2961962,25.2683521
Abdulhalim Radwi,1,Jeddah,39.1640396,21.5822247
Abdulhalim Radwi,1,Jordan,36.941628,31.1667049
Abdulhalim Radwi,1,Madrid,-3.7035825,40.4167047
Abdulhalim Radwi,1,Makkah,39.8209897,21.4228632
Abdulhalim Radwi,1,Rome,12.4830718,41.8933439
Abdulhalim Radwi,1,Saudi Arabia,42.3528328,25.6242618
Abdulhalim Radwi,1,Spain,-4.003104,40.0028028
Abdulhalim Radwi,1,Tunisia,9.400138,33.8439408
Abdullah Al Saadi,1,Abu Dhabi,54.3705762,24.4747961
Abdullah Al Saadi,1,Brazil,-53.2,-10.3333333
Abdullah Al Saadi,1,Germany,10.4234469,51.0834196
Abdullah Al Saadi,1,Italy,12.674297,42.6384261
Abdullah Al Saadi,1,Japan,139.2394179,36.5748441
Abdullah Al Saadi,1,Sao,37.5258470297,55.8336415
Abdullah Al Saadi,1,Sharjah,55.7954410161,25.21749685
Abdullah Al Saadi,1,the Gulf,-85.2175889,29.9665252
Abdullah Al Saadi,1,UAE,31.2718321,49.4871968
Abdullah Al Saadi,1,United Arab Emirates,53.9994829,24.0002488
Abdullah Al Saadi,1,Venice,12.3345899,45.4371908
Abdullah Al-Mazrook,1,Atlanta,-84.3901849,33.7490987
Abdullah Al-Mazrook,1,China,104.999927,35.000074
Abdullah Al-Mazrook,1,Georgia,44.0287382,41.6809707
Abdullah Al-Mazrook,1,Libya,18.1236723,26.8234472
Abdullah Al-Mazrook,1,Saudi Arabia,42.3528328,25.6242618
Abdullah Al-Mazrook,1,USA,-100.4458825,39.7837304
Abdullah Al-Ogaili,1,Riyadh,46.7150648,24.6319692
Abdullah Al-Othman,1,Riyadh,46.7150648,24.6319692
Abdullah Al-Othman,1,Saudi Arabia,42.3528328,25.6242618
