target,source,group,lat,long
Aalborg,Raeda Saadeh,1,9.921747,57.04882
Abha,Abdulsser Gharem&apos;s,1,42.50528,18.21694
Abha,Abdulsser Gharem,1,42.50528,18.21694
Abha,Saud Al-Duribi,1,42.50528,18.21694
Abha,Ahmed Mater,1,42.50528,18.21694
Abu Dhabi,Wafa Hourani,1,54.36667,24.46667
Abu Dhabi,Abdullah Al Saadi,1,54.36667,24.46667
Abu Dhabi,Rachid Kora├»chi,1,54.36667,24.46667
Abu Dhabi,Hrair Sarkissian,1,54.36667,24.46667
Abu Dhabi,Samah Hijawi,1,54.36667,24.46667
Abu Dhabi,Reem Al Ghaith,1,54.36667,24.46667
Abu Dhabi,Tarek Al-Ghoussein,1,54.36667,24.46667
Abu Dhabi,Marwa Rustam,1,54.36667,24.46667
Adderley,Yusef A. Lateef,1,-2.506347,52.95495
Afghanistan,CAMP,1,67.70995,33.93911
Afghanistan,Huda Totonji,1,67.70995,33.93911
Afghanistan,Jayce Salloum,1,67.70995,33.93911
Africa,Yusef A. Lateef,1,34.50852,-8.783195
Africa,Ze el Khalil,1,34.50852,-8.783195
Africa,Kamarstudios ,1,34.50852,-8.783195
Africa,Mou Karray,1,34.50852,-8.783195
Africa,Rasheed Araeen,1,34.50852,-8.783195
Africa,Zoulikha-Bouabdellah,1,34.50852,-8.783195
Africa,Keith Shiri,1,34.50852,-8.783195
Aix-en-Provence,Fay├ºal Baghriche ,1,5.447427,43.52974
Aix-en-Provence,Marwan Rechmaoui,1,5.447427,43.52974
Ajman,Ammar Al Attar,1,55.4796,25.3995
Albania,Halil Altindere,1,20.16833,41.15333
Albania,Anri Sala,1,20.16833,41.15333
Alberta,Wafaa Bilal,1,-116.5765,53.93327
Aleppo,Daoud Corm,1,37.1473,36.21168
Aleppo,Khaled Akil,1,37.1473,36.21168
Aleppo,Jowhara AlSaud,1,37.1473,36.21168
Aleppo,Ali Jabri,1,37.1473,36.21168
Aleppo,Dia Al Hadid,1,37.1473,36.21168
Alexandria,Adam Henein,1,-77.04692,38.80484
Alexandria,Seif Wanly,1,-77.04692,38.80484
Alexandria,Ahmed Foula,1,-77.04692,38.80484
Alexandria,Moataz sr,1,-77.04692,38.80484
Alexandria,Georges Daoud Corm,1,-77.04692,38.80484
Alexandria,Georges Sabbagh,1,-77.04692,38.80484
Alexandria,Hamed Owais,1,-77.04692,38.80484
Alexandria,Wael Shawky,1,-77.04692,38.80484
Alexandria,Hamed da,1,-77.04692,38.80484
Alexandria,Ahmad Osman,1,-77.04692,38.80484
Alexandria,Ragheb Ayad,1,-77.04692,38.80484
Alexandria,Mo Marzouk,1,-77.04692,38.80484
Alexandria,Adham Wanly,1,-77.04692,38.80484
Alger,Driss Ouadahi,1,3.042048,36.75289
Alger,Asad Faulwell,1,3.042048,36.75289
Alger,cera Belaza,1,3.042048,36.75289
Algeria,Adel Abdessemed,1,2.492945,27.22573
Algeria,Nida Sinnokrot,1,2.492945,27.22573
Algeria,Rachid Kora├»chi,1,2.492945,27.22573
Algeria,Susan Hefu,1,2.492945,27.22573
Algeria,Driss Ouadahi,1,2.492945,27.22573
Algeria,Fay├ºal Baghriche ,1,2.492945,27.22573
Algeria,Zineb Sedira,1,2.492945,27.22573
Algeria,Mohamed Bourouissa,1,2.492945,27.22573
Algeria,Djamel Kokene,1,2.492945,27.22573
Algeria,Yazid Oulab,1,2.492945,27.22573
Algeria,Mustapha Benfodil,1,2.492945,27.22573
Algeria,cera Belaza,1,2.492945,27.22573
