target,source,group,long,lat
98weeks Project Space,Setareh Shahbazi,2,NA,NA
Aalborg,Raeda Saadeh,1,9.921747,57.04882
Abbot Hall Art Gallery,Nadia Kaabi-Linke,2,NA,NA
Abdul Hameed Shoman Foundation,Kassab Bachi,2,NA,NA
Abha,Abdulnasser Gharem,1,42.50528,18.21694
Abha,Saud Al-Duribi,1,42.50528,18.21694
Abha,Ahmed Mater,1,42.50528,18.21694
Abraaj Capital,Zoulikha-Bouabdellah,2,NA,NA
Abraaj Capital,Marwan Sahmarani,2,NA,NA
Abraaj Capital,Jananne Al-Ani,2,NA,NA
Abraaj Capital,Wael Shawky,2,NA,NA
Abraaj Capital,Hamra Abbas,2,NA,NA
Abraaj Capital,Nadia Kaabi-Linke,2,NA,NA
Abu Dhabi,Wafa Hourani,1,54.36667,24.46667
Abu Dhabi,Abdullah Al Saadi,1,54.36667,24.46667
Abu Dhabi,Rachid Koraïchi,1,54.36667,24.46667
Abu Dhabi,Hrair Sarkissian,1,54.36667,24.46667
Abu Dhabi,Samah Hijawi,1,54.36667,24.46667
Abu Dhabi,Reem Al Ghaith,1,54.36667,24.46667
Abu Dhabi,Tarek Al-Ghoussein,1,54.36667,24.46667
Abu Dhabi,Marwa Rustam,1,54.36667,24.46667
Abu Dhabi Film Festival,Rania Attieh,2,NA,NA
Académie des Beaux-Arts,Mohammed Melehi,2,NA,NA
Academy of France,Georges Daoud Corm,2,NA,NA
Adderley,Yusef A. Lateef,1,-2.506347,52.95495
Adham Wanly Museum,Seif Wanly,2,NA,NA
Adham Wanly Museum,Adham Wanly,2,NA,NA
Advertising and Marketing,Waheeda Malullah,2,NA,NA
Afghan,Jayce Salloum,3,NA,NA
Afghanistan,CAMP,1,67.70995,33.93911
Afghanistan,Huda Totonji,1,67.70995,33.93911
Afghanistan,Jayce Salloum,1,67.70995,33.93911
Africa,Yusef A. Lateef,1,34.50852,-8.783195
Africa,Zena el Khalil,1,34.50852,-8.783195
Africa,Kamarstudios ,1,34.50852,-8.783195
Africa,Mouna Karray,1,34.50852,-8.783195
Africa,Rasheed Araeen,1,34.50852,-8.783195
Africa,Zoulikha-Bouabdellah,1,34.50852,-8.783195
Africa,Keith Shiri,1,34.50852,-8.783195
Africa Cultural Centre,Teboho Mahlatsi,2,NA,NA
Africa Media Centre,Keith Shiri,2,NA,NA
Africa Movie Academy,Keith Shiri,2,NA,NA
Africain,Nadia Kaabi-Linke,3,NA,NA
Africain,Driss Ouadahi,3,NA,NA
Agricultural Museum,Ragheb Ayad,2,NA,NA
Agricultural Museum,Ahmad Osman,2,NA,NA
Agricultural Museum,Youssef Kamel,2,NA,NA
Aichi Triennale,Firoz Mahmud,2,NA,NA
Aix-en-Provence,Fayçal Baghriche ,1,5.447427,43.52974
Aix-en-Provence,Marwan Rechmaoui,1,5.447427,43.52974
Ajman,Ammar Al Attar,1,55.4796,25.3995
Aksioma Institute,Wafaa Bilal,2,NA,NA
Al Burda International,Wissam Shawkat,2,NA,NA
Al Karmel Magazine,Khaled Hourani,2,NA,NA
al Kora University,Nasser Al-Salem,2,NA,NA
Al Mansouria Foundation,Taha Al-Sabban,2,NA,NA
Al Mansouria Foundation,Abdullah Hammas,2,NA,NA
Al Mansouriyah Foundation,Athier,2,NA,NA
Al Qattan Foundation,Jawad Al Malhi,2,NA,NA
Al Rayat Music School,Mohammed Kazem,2,NA,NA
Al Riwaq Art Space,Fayçal Baghriche ,2,NA,NA
Al Riwaq Art Space,Mounira Al Solh,2,NA,NA
Al-Mansouria Foundation,Shadia Alem,2,NA,NA
Al-Najah University,Taysir Batniji,2,NA,NA
Al-Quds University,Sliman Mansour,2,NA,NA
Albania,Halil Altindere,1,20.16833,41.15333
Albania,Anri Sala,1,20.16833,41.15333
Albert Museum,Rachid Koraïchi,2,NA,NA
Alberta,Wafaa Bilal,1,-116.5765,53.93327
Aleppo,Daoud Corm,1,37.1473,36.21168
Aleppo,Khaled Akil,1,37.1473,36.21168
Aleppo,Jowhara AlSaud,1,37.1473,36.21168
Aleppo,Ali Jabri,1,37.1473,36.21168
Aleppo,Diana Al Hadid,1,37.1473,36.21168
Alexandria,Adam Henein,1,-77.04692,38.80484
Alexandria,Seif Wanly,1,-77.04692,38.80484
Alexandria,Ahmed Foula,1,-77.04692,38.80484
Alexandria,Moataz Nasr,1,-77.04692,38.80484
Alexandria,Georges Daoud Corm,1,-77.04692,38.80484
Alexandria,Georges Sabbagh,1,-77.04692,38.80484
Alexandria,Hamed Owais,1,-77.04692,38.80484
Alexandria,Wael Shawky,1,-77.04692,38.80484
Alexandria,Hamed Nada,1,-77.04692,38.80484
Alexandria,Ahmad Osman,1,-77.04692,38.80484
Alexandria,Ragheb Ayad,1,-77.04692,38.80484
Alexandria,Mona Marzouk,1,-77.04692,38.80484
Alexandria,Adham Wanly,1,-77.04692,38.80484
Alexandria Contemporary Arts Forum,Mona Marzouk,2,NA,NA
Alger,Driss Ouadahi,1,3.042048,36.75289
Alger,Asad Faulwell,1,3.042048,36.75289
Alger,Nacera Belaza,1,3.042048,36.75289
Algeria,Adel Abdessemed,1,2.492945,27.22573
Algeria,Nida Sinnokrot,1,2.492945,27.22573
Algeria,Rachid Koraïchi,1,2.492945,27.22573
Algeria,Susan Hefuna,1,2.492945,27.22573
Algeria,Driss Ouadahi,1,2.492945,27.22573
Algeria,Fayçal Baghriche ,1,2.492945,27.22573
Algeria,Zineb Sedira,1,2.492945,27.22573
Algeria,Mohamed Bourouissa,1,2.492945,27.22573
Algeria,Djamel Kokene,1,2.492945,27.22573
Algeria,Yazid Oulab,1,2.492945,27.22573
Algeria,Mustapha Benfodil,1,2.492945,27.22573
Algeria,Nacera Belaza,1,2.492945,27.22573
Algerian,Karim Aïnouz,3,NA,NA
Algerian,Mustapha Benfodil,3,NA,NA
Algerian,Asad Faulwell,3,NA,NA
Algerian,Driss Ouadahi,3,NA,NA
Algerian,Rachid Koraïchi,3,NA,NA
Algerian,Abdelkader Benchamma,3,NA,NA
Algiers,Adel Abdessemed,1,3.042048,36.75289
Algiers,Mohamed Bourouissa,1,3.042048,36.75289
Algiers,Djamel Kokene,1,3.042048,36.75289
Algiers,Fayçal Baghriche ,1,3.042048,36.75289
Algiers,Zineb Sedira,1,3.042048,36.75289
Algiers,Yazid Oulab,1,3.042048,36.75289
Algiers,Sharif Waked,1,3.042048,36.75289
Algiers,Mouna Karray,1,3.042048,36.75289
Algiers,Ammar Bouras,1,3.042048,36.75289
Algiers,Susan Hefuna,1,3.042048,36.75289
Algiers,Nadia Kaabi-Linke,1,3.042048,36.75289
Algiers,Rachid Koraïchi,1,3.042048,36.75289
Algiers,Amina Menia,1,3.042048,36.75289
Algiers,Farid Belkahia,1,3.042048,36.75289
America,Abdul Ghafur Sheikh,1,-95.71289,37.09024
America,Jowhara Al-Saud ,1,-95.71289,37.09024
America,Naeem Mohaiemen,1,-95.71289,37.09024
America,Melik Ohanian,1,-95.71289,37.09024
America,Darvish Fakhr,1,-95.71289,37.09024
America,Yusef A. Lateef,1,-95.71289,37.09024
America,Ahmed El Attar,1,-95.71289,37.09024
American,Darvish Fakhr,3,NA,NA
American,Nida Sinnokrot,3,NA,NA
American,Ala Ebtekar,3,NA,NA
American,Maha Malluh,3,NA,NA
American,Abdullah Nawawi,3,NA,NA
American,Tarek Halaby,3,NA,NA
American,Yusef A. Lateef,3,NA,NA
American,Nil Yalter,3,NA,NA
American,Naeem Mohaiemen,3,NA,NA
American,Georges Daoud Corm,3,NA,NA
American,Ghada Khunji,3,NA,NA
American,Omar Berrada,3,NA,NA
American,Jenine Sharabi,3,NA,NA
American,Jowhara Al-Saud ,3,NA,NA
American,Abdelfattah Kilito,3,NA,NA
American,Sean Gullette,3,NA,NA
American,Alan Bishop,3,NA,NA
American,Saud Al-Duribi,3,NA,NA
Amherst College,Ziad Abillama,2,NA,NA
Amman,Saba Innab,1,35.9457,31.95658
Amman,Mohanna Durra,1,35.9457,31.95658
Amman,Fahrelnissa Zeid,1,35.9457,31.95658
Amman,Walid Siti,1,35.9457,31.95658
Amman,Doa Aly,1,35.9457,31.95658
Amman,Hrair Sarkissian,1,35.9457,31.95658
Amman,Hafidh al-Droubi,1,35.9457,31.95658
Amman,Rula Halawani,1,35.9457,31.95658
Amman,Ismail al-Shaikhly,1,35.9457,31.95658
Amman,Samah Hijawi,1,35.9457,31.95658
Amman,Athier,1,35.9457,31.95658
Amman,Ziad Dalloul,1,35.9457,31.95658
Amman,Basim Magdy ,1,35.9457,31.95658
Amman,Oraib Toukan,1,35.9457,31.95658
Amman,Jumana Emil Abboud,1,35.9457,31.95658
Amman,Ali Jabri,1,35.9457,31.95658
Amman,Jananne Al-Ani,1,35.9457,31.95658
Amman,Khalid al-Jader,1,35.9457,31.95658
Amman,Mohammed Ghani Hikmat,1,35.9457,31.95658
Amman,Adel Abidin,1,35.9457,31.95658
Amman,Mona Saudi,1,35.9457,31.95658
Amman,Pascal Hachem,1,35.9457,31.95658
Amman Museum of Modern Art,Youssef Abdelkė,2,NA,NA
Amnesty International,Başak Ertür,2,NA,NA
Amsterdam,Raed Yassin,1,4.895168,52.37022
Amsterdam,Sophie Ernst,1,4.895168,52.37022
Amsterdam,Rabih Mroué,1,4.895168,52.37022
Amsterdam,Adam Henein,1,4.895168,52.37022
Amsterdam,Aisha Khalid,1,4.895168,52.37022
Amsterdam,Samah Hijawi,1,4.895168,52.37022
Amsterdam,Hrair Sarkissian,1,4.895168,52.37022
Amsterdam,Manal Dowayan,1,4.895168,52.37022
Amsterdam,Tarek Atoui,1,4.895168,52.37022
Amsterdam,Jilali Gharbaoui,1,4.895168,52.37022
Amsterdam,Ayşe Erkmen,1,4.895168,52.37022
Amsterdam,Amar Kanwar,1,4.895168,52.37022
Amsterdam,Hala Elkoussy,1,4.895168,52.37022
Amsterdam,Firoz Mahmud,1,4.895168,52.37022
Amsterdam,Yto Barrada,1,4.895168,52.37022
Amsterdam,Runa Islam,1,4.895168,52.37022
Amsterdam,Mounira Al Solh,1,4.895168,52.37022
Amsterdam,Eva Meyer-Keller,1,4.895168,52.37022
Amsterdam,Ayman Ramadan,1,4.895168,52.37022
Amsterdam,Cevdet Erek,1,4.895168,52.37022
AND Galeria,Abdelkader Benchamma,2,NA,NA
Ankara,Fahrelnissa Zeid,1,32.85411,39.92077
Ankara,Ismail al-Shaikhly,1,32.85411,39.92077
Ankara,Yazid Oulab,1,32.85411,39.92077
Ankara,:mentalKLINIK,1,32.85411,39.92077
Ankara,Aras Özgün,1,32.85411,39.92077
Antwerp,Lawrence Abu Hamdan ,1,4.402464,51.21945
Antwerp,Hrair Sarkissian,1,4.402464,51.21945
Antwerp,Almagul Menlibayeva,1,4.402464,51.21945
Antwerp,N.S. Harsha,1,4.402464,51.21945
Antwerp,David Claerbout,1,4.402464,51.21945
Apeejay Media,Sophie Ernst,2,NA,NA
Aperture Foundation (New York),Youssef Nabil,2,NA,NA
Arab Image Foundation,Setareh Shahbazi,2,NA,NA
Arab Image Foundation,Akram Zaatari,2,NA,NA
Arab Image Foundation,Fouad Elkoury,2,NA,NA
