Name,FirstParagraph
Abbas Kiarostami,http://www.sharjahart.org/people/people-by-alphabet/k/kiarostami-abbas
Abdelfattah Kilito,http://www.sharjahart.org/people/people-by-alphabet/k/kilito-abdelfattah
José Luis Martinat,"Working with video, drawing, photography and text, the work of José Luis Martinat is often characterised by the appropriation and then deconstruction and manipulation of pre-existing material."
Juan Araujo,"Using the traditional medium of oil on wood, Araujo creates works associated with the history of painting, photography, publications, catalogues, magazines, postcards and posters."
Judith  Barry,"Judith Barry is a New York-based artist and writer whose work crosses a number of disciplines including performance, installation, film and video, sculpture, architecture, photography and new media. She has exhibited prolifically in the United States, Europe and Asia and has received awards including the Kiesler Prize for Architecture and the Arts and Best Pavilion and Audience Award at the 8th Cairo Biennale. A survey of her work, Judith Barry: Body Without Limits is currently travelling in Europe and was most recently installed at the Berardo Museum in Lisbon, Portugal, in Spring 2010."
Julia Meltzer,"Julia Meltzer is a filmmaker and artist who lives and works in Los Angeles. Her work with David Thorne has been awarded prizes at the European Media Arts Festival, Transmediale, and the Rio de Janeiro Short Film Festival. Her art work has been exhibited at Modern Art Oxford, Steve Turner Gallery, HomeWorks IV in Beirut, and the 2008 Whitney Biennial, among others. She is a recipient of grants from Art Matters, the Louis Comfort Tiffany Foundation, the Rockefeller Media Arts Fellowship Fund, the Guggenheim Foundation, and was a Fulbright Fellow in Damascus, Syria in 2005–6. She is a fluent Spanish speaker and proficient in Arabic spoken dialect."
Jumana  Manna,Biography
Jumana Emil  Abboud,"Jumana Emil Abboud uses drawing, video, performance, objects and text to navigate themes of memory, loss and resilience. She has consistently reflected a Palestinian cultural landscape in which the struggle for continuity amid the wider political context necessitates a constant process of metamorphosis and ingenuity. She has participated in numerous international group exhibitions over the last decade. From 2009 this included the Venice Biennale, the Istanbul Biennial, the Bahrain National Museum, Manama, L’Institut du Monde Arabe, Paris, The Jerusalem Show, and Sentences on the Banks and other Activities exhibition at Darat al Funun, Amman."
Jumana Manna,NA
Jun Yang,"Jun Yang addresses the architectural, historical and political structures of public and private spaces through the personal narratives of people inhabiting these spaces."
Kader Attia,"Born in Dugny, France in 1970, Kader Attia spent his childhood between France and Algeria, between the Christian Occident and the Islamic Maghreb. His work explores the impact of Western cultural and political capitalism on the Middle East and North Africa, as well as how this residual strain of struggle and resistance to colonisation impacts Arab youth, particularly in the banlieues (suburbs) of France where Attia lived. While each new series employs different materials, symbols and scale, Attia’s practice continually returns to a sustained look at the poetic dimensions and complexities of contemporary life. Recent awards include the Cairo Biennial Prize (2008) and the Abraaj Capital Art Prize (2010). Attia’s work has been widely exhibited at major international institutions including the ICA, Boston, Centre Georges Pompidou, Paris and the Saatchi Gallery, London. Kader Attia is represented by Galerie Christian Nagel, Berlin and Cologne, and Galerie Krinzinger, Vienna."
Kader Attia,"Kader Attia’s videos, installations, photographs and drawings are mostly inspired by his own life experience, and thus often refer to the difficult task of bridging different cultures. Frequently executed with objects dissociated from their original function, his work questions, in a rather direct fashion, the notions of uprooting, identity and religion as withdrawal into an exclusive community. Moreover, Attia continues his exploration of the myths and the poetry of emptiness/void."
Kader Attia,"Raised in a French North African community, Kader Attia explores the complex relationship between East and West, Europe and its immigrants and the conflicts of identity that lie beneath the increasing turmoil in French society today."
Kamarstudios,http://www.sharjahart.org/people/people-by-alphabet/k/kamarstudios1
Kameel Hawa,Kameel Hawa is a Lebanese graphic designer who is director of the Jeddah based Saudi design house Al-Mohtaraf Assaudi. In 2005 in Al-Mohtaraf's Beirut studio he designed a font type by the name of Midan.
Kamran  Shirdel,"Kamran Shirdel is an extremely influential figure of Iran’s new cinema and documentary school of filmmaking. In 1964, he graduated from the Centro Sperimentale di Cinematografia in Rome before returning to Iran where he directed numerous social documentaries for the Ministry of Culture and Art. Shirdel’s furious documentaries and cinematic language were highly contentious under the Shah as they spoke up for the underprivileged and criticised corruption. Most of his films were banned and he was expelled from the ministry. After the revolution, all his films were released in Iran and internationally. He is the founding director of the progressive Kish Documentary Film Festival, the only independent festival of its kind in Iran."
Karim Aïnouz,"Karim Aïnouz is a Brazilian-Algerian filmmaker and visual artist, presently living and working in Berlin. He holds a degree in Architecture from the University of Brasilia and in Cinema Studies from New York University. He then enrolled in the Program of Independent Studies of the Whitney Museum of American Art. Aïnouz’s feature debut, Madame Satã, premiered in 2002 at the Cannes Film Festival’s Un Certain Regard. His next films, Suely in the Sky and I Travel Because I Have To, I Come Back Because I Love You (co-directed with Marcelo Gomes) premiered in the Venice Film Festival’s Orizzonti, in 2006 and 2009 respectively. His short films include Paixão Nacional (1996) and Seams (1993). His installations have been shown at the Whitney Museum of American Art Biennial (1997) and the São Paulo Biennial (2004). He is currently editing Violeta, his most recent film."
Karin Sander,"Karin Sander’s practice draws attention to the complex relationships between artworks, institutions and audiences through the innovative use of installation, sculpture, photography, new technologies and other media."
Kassab Bachi,NA
Kazuyo Sejima + Ryue Nishizawa / SANAA,http://www.sharjahart.org/people/people-by-alphabet/s/kazuyo-sejima-ryue-nishizawa-sanaa
Keith  Shiri,"Keith Shiri is founder and director of Africa at the Pictures, the London African Film Festival and the Africa Media Centre University of Westminster, London. He is an expert advisor for the EU-ACP programme, for the ACP cinema and audio-visual sectors. He is programme advisor to the London Film Festival and also served in that position for the Venice Film Festival. He was a member of the Berlinale World Cinema Fund from 2004-2007. Shiri has served as a juror on numerous festivals including the Berlin International Film Festival, the Dubai International Film Festival, the Pan African Film Festival of Ouagadougou (FESPACO), Tampere Film Festival and many others. He is currently on the advisory board of New York’s Focus Features Africa First Programme, which supports and mentors young African filmmakers, and a jury advisor for the annual Africa Movie Academy Awards."
Khaled  Hourani,"Khaled Hourani is an artist, writer and curator. Currently Artistic Director of the International Academy of Art in Palestine, Hourani’s work has been exhibited across the Middle East, Europe and the US and he has participated in and coordinated several international artists’ workshops. In 1997, he founded Al Matal Gallery in Ramallah. He was the designer of Al Karmel Magazine, which was founded and directed by Mahmoud Darwish (1998 to 2009) and was General Director of the Fine Arts Department of the Palestinian Ministry of Culture (2004-06)."
Khaled  Jarrar,Biography
Khaled  Sabsabi,"b. 1965, Tripoli, Lebanon"
Khaled Akil,"Born in Aleppo, Khaled is a self-taught Syrian photographer among the top emerging talents in his country. Focusing primarily on social, political, and sexual issues abound in the Middle East, Khaled aims to portray the 'contradictions' inherent therein, in 'a way that is acceptable to the general public'. Undoubtedly, holding a Bachelor's degree in Law and Political Science from the Beirut Arab University has enabled Khaled to further flesh out his artistic expressions of these contradictions and social issues which he observes on a daily basis. It has been his unique perspective, coupled with his undeniable talent as a photographer and artist that has garnered Khaled acclaim from his critics, and awarded him success at all his exhibitions thus far."
Khaled Al-Faisal,"Khaled Al-Faisal is a painter of the romantic style who seems to enjoy his art as a pastime. As the emir of Makkah he will realise that creation painted the birds infinitively better than his abilities allow him, but as a prince he knows that the discovery of flight was only achieved by drawing birds and observing the structure of their wings. Al-Faisal's importance for the arts of Saudi Arabia lies not in his art - his simple landscapes are the best - but in his unmitigated support for other artists during his long tenure as governor of the Aseer region. Al-Faisal has established a painting relationship with a British prince who cherishes the traditional arts. Considering the mindset of his court at Abha a comparison with Italian princes of the Renaissance seems to do Al-Faisal better justice.(20 June 2010)"
Khalid Al Gharaballi,"Khalid al Gharaballi is a stylist and artist based in New York. His work has been published in Vogue Homme Japan, V, Tokion, GQ and A magazine. Khalid is also a contributor to Bidoun and DIS Magazine. He has performed at Bidoun's Art Park at Art Dubai."
Khalid Al-Harbi,"Khalid Al-Harbi from Riyadh is a creative photographer who shows work on his personal website since 2006. There is no pretence, but for his belief in the memory of a concentrated eye. His photos are mostly of landscapes, plant and animal life. In a few instances he tries a little to enhance his images and to jump the line between photographic memory and autonomous art. A repeted focus on single flowers may be his favourite form of worship."
Khalid Khidr,Khalid Khidr is a well known Saudi photographer who from the late 1970s has captured images of the Saudi royal family and the holy sites at Makkah and Madinah as well as the development of the other cities of Saudi Arabia. He has published several books such as a book with aerial photographs of Taif and has co-operated with foreign photographers. With John French he pictured old and new Jeddah in the early 1980s.
Khalil Joreige,"Khalil Joreige and Joana Hadjithomas collaborate as visual artists and filmmakers. Their work includes feature films, documentaries and short films, as well as photographic and video installations. Their most recent feature Je Veux Voir (2008) premiered in the official selection of the Cannes Film Festival and gained wide international distribution. Other films include A Perfect Day (2005), Ramad and documentaries or film essays such as Khiam (2000) and The Lost Film (2003). Their photographic installations and videos include Lasting Images (2003) The Circle of Confusion (1997), the multifaceted project Wonder Beirut (1997-2006) and Faces (2009). They live and work between Beirut and Paris."
